method,query_count,region_count,region_size,shortcut_count,original_node_count,compressed_node_count,original_edge_count,compressed_edge_count,internal_node_count,fallback_query_count,fallback_rate_pct,preprocessing_seconds,baseline_avg_ms,indexed_avg_ms,elapsed_change_pct,baseline_p95_ms,indexed_p95_ms,p95_change_pct,baseline_avg_expanded,indexed_avg_expanded,expanded_change_pct,correctness_rate
random_bfs,98082,115,512,48235,133839,78249,221589,174050,55590,72381,73.796415,46.420313,28.696780,26.220743,-8.628277,126.522408,116.659644,-7.795270,10741.695153,9766.547919,-9.078150,1.000000
od_hotspot_bfs,98082,108,512,48967,133839,81710,221589,181257,52129,77599,79.116454,9.077165,28.696780,27.322929,-4.787474,126.522408,121.111052,-4.276994,10741.695153,10142.908607,-5.574414,1.000000
