method,query_id,origin,destination,distance_m,reachable,expanded_nodes,elapsed_ms,correct
bidirectional_dijkstra,0,111479505,4468690341,2657.948000,True,2051,4.587054,True
bidirectional_dijkstra,1,9026947863,8428802849,3913.147000,True,7873,11.056744,True
bidirectional_dijkstra,2,2356335529,111479510,248.810000,True,41,0.060287,True
bidirectional_dijkstra,3,1548073774,12458801839,4181.978000,True,6459,8.986630,True
bidirectional_dijkstra,4,5476877855,6786679826,3992.581000,True,8699,10.800122,True
bidirectional_dijkstra,5,286970022,4473717370,4733.044000,True,10426,12.437865,True
bidirectional_dijkstra,6,4685556561,2216360362,3344.529000,True,3432,3.261531,True
bidirectional_dijkstra,7,10804032079,428214955,2896.452000,True,3292,3.330246,True
bidirectional_dijkstra,8,112686789,343634578,4062.253000,True,6447,6.267591,True
bidirectional_dijkstra,9,111479510,1142604690,1865.103000,True,1013,0.909396,True
bidirectional_dijkstra,10,2273290991,7057137060,2253.912000,True,1762,1.573701,True
bidirectional_dijkstra,11,10832272076,12456007414,6493.325000,True,22727,28.324739,True
bidirectional_dijkstra,12,5284385981,4395077186,5240.534000,True,11046,10.617170,True
bidirectional_dijkstra,13,452682282,2206192839,3222.824000,True,3795,3.482474,True
bidirectional_dijkstra,14,2206349297,137994655,2515.532000,True,1648,1.454204,True
bidirectional_dijkstra,15,409117207,129953582,4931.906000,True,12732,13.153394,True
bidirectional_dijkstra,16,1731168353,9917170967,7994.649000,True,29974,34.534146,True
bidirectional_dijkstra,17,8425266096,6131949113,1781.241000,True,1451,1.252048,True
bidirectional_dijkstra,18,4708680492,343634589,2786.659000,True,3663,3.549698,True
bidirectional_dijkstra,19,4507024043,5476877561,1840.888000,True,690,0.530578,True
bidirectional_dijkstra,20,12456240972,474552495,1928.408000,True,1588,1.315966,True
bidirectional_dijkstra,21,8251772474,12163220170,6721.342000,True,23300,25.776212,True
bidirectional_dijkstra,22,2356335529,4241285268,2433.141000,True,1827,1.641249,True
bidirectional_dijkstra,23,6924815711,3570147092,2498.550000,True,2872,2.647669,True
bidirectional_dijkstra,24,8428802849,492807184,3052.929000,True,5527,5.459481,True
bidirectional_dijkstra,50,111428015,1353859198,4410.606000,True,6088,9.929434,True
bidirectional_dijkstra,51,12456064553,7188043869,3734.191000,True,6038,8.020207,True
bidirectional_dijkstra,52,12514870315,12619373472,2320.344000,True,2147,2.122206,True
bidirectional_dijkstra,53,4074469815,1731168378,8640.720000,True,27239,40.270537,True
bidirectional_dijkstra,54,129795309,1143318103,2592.101000,True,2844,3.173063,True
bidirectional_dijkstra,55,12111393897,411014377,4052.412000,True,7963,7.659076,True
bidirectional_dijkstra,56,10894511576,444058662,4787.173000,True,10458,11.789829,True
bidirectional_dijkstra,57,12514870315,343646818,1368.050000,True,634,0.587907,True
bidirectional_dijkstra,58,3392710660,452682253,1952.862000,True,1395,1.140085,True
bidirectional_dijkstra,59,11368972152,8425266097,1117.874000,True,558,0.655224,True
bidirectional_dijkstra,60,12111393897,12692809390,7622.325000,True,24112,26.363014,True
bidirectional_dijkstra,61,5585519391,343646818,4135.004000,True,10395,11.517365,True
bidirectional_dijkstra,62,1393866606,1548083883,3402.413000,True,4832,4.494181,True
bidirectional_dijkstra,63,10804032079,335739291,4613.078000,True,8556,8.479359,True
bidirectional_dijkstra,64,4529131610,2641682870,2074.671000,True,911,0.771380,True
bidirectional_dijkstra,65,12456007414,13514607807,4018.424000,True,7104,7.121593,True
bidirectional_dijkstra,66,314074569,9841388825,9162.816000,True,39545,45.609472,True
bidirectional_dijkstra,67,2397381951,1225943131,123.703000,True,13,0.017871,True
bidirectional_dijkstra,68,5849847819,1394070656,6986.965000,True,18469,19.677642,True
bidirectional_dijkstra,69,276932539,9801811571,2208.853000,True,1742,1.393426,True
bidirectional_dijkstra,70,4612522510,428214938,5086.962000,True,13997,13.362138,True
bidirectional_dijkstra,71,343646818,474685697,1325.912000,True,439,0.301201,True
bidirectional_dijkstra,72,13411053961,13411053961,0.000000,True,1,0.001508,True
bidirectional_dijkstra,73,2349409306,513920950,4128.348000,True,9720,9.009405,True
bidirectional_dijkstra,74,12456240969,3699236931,856.156000,True,195,0.146227,True
bidirectional_dijkstra,75,12456240969,138241053,1592.318000,True,679,2.030901,True
bidirectional_dijkstra,76,1386063700,111481849,1374.999000,True,607,1.502320,True
bidirectional_dijkstra,77,12241567152,5284320775,1696.450000,True,922,1.641517,True
bidirectional_dijkstra,78,25632224,12533949426,2444.384000,True,1844,3.112172,True
bidirectional_dijkstra,79,13050276131,1050531202,7839.146000,True,31986,50.971751,True
bidirectional_dijkstra,80,4463858994,10294163314,2035.219000,True,1180,1.089725,True
bidirectional_dijkstra,81,2356731134,5284320516,2056.050000,True,1226,1.049509,True
bidirectional_dijkstra,82,10916368719,12064709805,1276.833000,True,503,0.376940,True
bidirectional_dijkstra,83,12610270514,2585539002,2772.852000,True,1386,1.223091,True
bidirectional_dijkstra,84,10893856742,296057070,4084.741000,True,5808,5.519804,True
bidirectional_dijkstra,86,4751660570,1447129634,4124.172000,True,6252,7.004785,True
bidirectional_dijkstra,87,12459075337,2083726472,12302.427000,True,60416,78.092846,True
bidirectional_dijkstra,88,5306607707,5266786480,5655.119000,True,15440,15.667006,True
bidirectional_dijkstra,89,12111393897,6743002212,8453.709000,True,33501,40.070703,True
bidirectional_dijkstra,90,5284452298,343646818,1662.709000,True,721,0.610187,True
bidirectional_dijkstra,91,1216466444,4506950200,3973.028000,True,7375,6.688356,True
bidirectional_dijkstra,92,111465608,4477706860,2538.553000,True,1585,1.217270,True
bidirectional_dijkstra,93,10121898409,343646818,1973.884000,True,1414,1.102247,True
bidirectional_dijkstra,94,13522470886,9764806874,3292.543000,True,4471,3.683504,True
bidirectional_dijkstra,95,12533949491,299614580,1779.517000,True,1449,1.127080,True
bidirectional_dijkstra,96,1594804691,1142608316,3100.438000,True,2707,2.189547,True
bidirectional_dijkstra,97,4656695032,4526777736,1359.987000,True,1259,1.051743,True
bidirectional_dijkstra,98,10840321813,9028882883,2713.960000,True,2647,2.169629,True
bidirectional_dijkstra,99,3573222241,3573222241,0.000000,True,1,0.001787,True
bidirectional_dijkstra,100,10804032079,8091578311,3741.669000,True,5033,4.486444,True
bidirectional_dijkstra,25,2206192839,2206192839,0.000000,True,1,0.014430,True
bidirectional_dijkstra,26,111450388,1322185761,9768.018000,True,30868,51.278561,True
bidirectional_dijkstra,27,9028882801,12456240969,3076.503000,True,3945,3.791523,True
bidirectional_dijkstra,28,12456064553,474799738,1884.894000,True,1056,0.937813,True
bidirectional_dijkstra,29,12241567151,3098121126,1029.239000,True,365,0.309174,True
bidirectional_dijkstra,30,12456007310,6249235133,2135.501000,True,1933,2.131015,True
bidirectional_dijkstra,31,3573222227,2250794621,6152.703000,True,15520,19.076539,True
bidirectional_dijkstra,32,2893310956,2605258290,4446.496000,True,7062,6.763028,True
bidirectional_dijkstra,33,5849847821,1146569953,4873.067000,True,9195,9.712253,True
bidirectional_dijkstra,34,1105966159,3163927496,2165.539000,True,1519,1.256139,True
bidirectional_dijkstra,35,9026947863,1320280999,10404.249000,True,42331,50.259275,True
bidirectional_dijkstra,36,3250683231,343646818,1840.181000,True,1158,1.106352,True
bidirectional_dijkstra,37,12111393897,10914247475,1919.221000,True,1118,0.982896,True
bidirectional_dijkstra,38,12111393897,2208891198,1335.725000,True,649,0.464092,True
bidirectional_dijkstra,39,111508341,3740427460,6599.668000,True,14584,15.677767,True
bidirectional_dijkstra,40,111428015,12336214016,4548.448000,True,8562,8.287699,True
bidirectional_dijkstra,41,5185083151,475555174,4244.502000,True,5408,6.406362,True
bidirectional_dijkstra,42,3446699996,12396059927,2253.245000,True,2012,1.851927,True
bidirectional_dijkstra,43,1487178619,25632414,5093.028000,True,13789,13.959150,True
bidirectional_dijkstra,44,2356335529,4316780323,11916.136000,True,60855,66.750782,True
bidirectional_dijkstra,45,6131949111,10832083114,3098.572000,True,6574,5.696225,True
bidirectional_dijkstra,46,497690737,6211036772,7896.863000,True,25219,22.621773,True
bidirectional_dijkstra,47,3130311627,343646659,2026.002000,True,1317,1.103126,True
bidirectional_dijkstra,48,12514870315,1110698243,2472.368000,True,2250,1.678990,True
bidirectional_dijkstra,49,1105966159,9613090536,3601.349000,True,5580,4.757579,True
random_bfs_shortcuts,0,111479505,4468690341,2657.948000,True,2051,6.920234,True
random_bfs_shortcuts,1,9026947863,8428802849,3913.147000,True,7873,13.654142,True
random_bfs_shortcuts,2,2356335529,111479510,248.810000,True,41,0.076165,True
random_bfs_shortcuts,3,1548073774,12458801839,4181.978000,True,6459,11.719124,True
random_bfs_shortcuts,4,5476877855,6786679826,3992.581000,True,8699,13.148519,True
random_bfs_shortcuts,5,286970022,4473717370,4733.044000,True,10426,15.585415,True
random_bfs_shortcuts,6,4685556561,2216360362,3344.529000,True,3432,4.334418,True
random_bfs_shortcuts,7,10804032079,428214955,2896.452000,True,3292,4.318669,True
random_bfs_shortcuts,8,112686789,343634578,4062.253000,True,6447,8.326013,True
random_bfs_shortcuts,9,111479510,1142604690,1865.103000,True,1013,1.164198,True
random_bfs_shortcuts,10,2273290991,7057137060,2253.912000,True,1762,1.975934,True
random_bfs_shortcuts,11,10832272076,12456007414,6493.325000,True,22727,34.766860,True
random_bfs_shortcuts,12,5284385981,4395077186,5240.534000,True,11046,14.789717,True
random_bfs_shortcuts,13,452682282,2206192839,3222.824000,True,3795,4.540513,True
random_bfs_shortcuts,14,2206349297,137994655,2515.532000,True,1648,1.877965,True
random_bfs_shortcuts,15,409117207,129953582,4931.906000,True,12732,17.022438,True
random_bfs_shortcuts,16,1731168353,9917170967,7994.649000,True,29915,44.882885,True
random_bfs_shortcuts,17,8425266096,6131949113,1781.241000,True,1451,1.725656,True
random_bfs_shortcuts,18,4708680492,343634589,2786.659000,True,3663,4.566654,True
random_bfs_shortcuts,19,4507024043,5476877561,1840.888000,True,690,0.798347,True
random_bfs_shortcuts,20,12456240972,474552495,1928.408000,True,1588,1.939227,True
random_bfs_shortcuts,21,8251772474,12163220170,6721.342000,True,23300,33.153554,True
random_bfs_shortcuts,22,2356335529,4241285268,2433.141000,True,1827,2.161397,True
random_bfs_shortcuts,23,6924815711,3570147092,2498.550000,True,2872,3.596627,True
random_bfs_shortcuts,24,8428802849,492807184,3052.929000,True,5527,7.341975,True
random_bfs_shortcuts,50,111428015,1353859198,4410.606000,True,6029,12.117091,True
random_bfs_shortcuts,51,12456064553,7188043869,3734.191000,True,5979,10.116879,True
random_bfs_shortcuts,52,12514870315,12619373472,2320.344000,True,2147,2.845656,True
random_bfs_shortcuts,53,4074469815,1731168378,8640.720000,True,27239,48.794270,True
random_bfs_shortcuts,54,129795309,1143318103,2592.101000,True,2844,4.018309,True
random_bfs_shortcuts,55,12111393897,411014377,4052.412000,True,7963,9.973980,True
random_bfs_shortcuts,56,10894511576,444058662,4787.173000,True,10458,15.124277,True
random_bfs_shortcuts,57,12514870315,343646818,1368.050000,True,634,0.795912,True
random_bfs_shortcuts,58,3392710660,452682253,1952.862000,True,1395,1.641752,True
random_bfs_shortcuts,59,11368972152,8425266097,1117.874000,True,558,0.855370,True
random_bfs_shortcuts,60,12111393897,12692809390,7622.325000,True,24101,33.545646,True
random_bfs_shortcuts,61,5585519391,343646818,4135.004000,True,10395,14.709036,True
random_bfs_shortcuts,62,1393866606,1548083883,3402.413000,True,4832,6.215716,True
random_bfs_shortcuts,63,10804032079,335739291,4613.078000,True,8556,11.271433,True
random_bfs_shortcuts,64,4529131610,2641682870,2074.671000,True,911,1.015097,True
random_bfs_shortcuts,65,12456007414,13514607807,4018.424000,True,7104,9.042946,True
random_bfs_shortcuts,66,314074569,9841388825,9162.816000,True,39486,57.979128,True
random_bfs_shortcuts,67,2397381951,1225943131,123.703000,True,13,0.022955,True
random_bfs_shortcuts,68,5849847819,1394070656,6986.965000,True,18442,25.464585,True
random_bfs_shortcuts,69,276932539,9801811571,2208.853000,True,1742,1.969651,True
random_bfs_shortcuts,70,4612522510,428214938,5086.962000,True,13938,18.141099,True
random_bfs_shortcuts,71,343646818,474685697,1325.912000,True,439,0.539738,True
random_bfs_shortcuts,72,13411053961,13411053961,0.000000,True,1,0.001680,True
random_bfs_shortcuts,73,2349409306,513920950,4128.348000,True,9720,12.290805,True
random_bfs_shortcuts,74,12456240969,3699236931,856.156000,True,195,0.190624,True
random_bfs_shortcuts,75,12456240969,138241053,1592.318000,True,679,2.298596,True
random_bfs_shortcuts,76,1386063700,111481849,1374.999000,True,607,1.752205,True
random_bfs_shortcuts,77,12241567152,5284320775,1696.450000,True,922,1.911314,True
random_bfs_shortcuts,78,25632224,12533949426,2444.384000,True,1844,3.763282,True
random_bfs_shortcuts,79,13050276131,1050531202,7839.146000,True,31969,67.665001,True
random_bfs_shortcuts,80,4463858994,10294163314,2035.219000,True,1180,1.359927,True
random_bfs_shortcuts,81,2356731134,5284320516,2056.050000,True,1226,1.338118,True
random_bfs_shortcuts,82,10916368719,12064709805,1276.833000,True,503,0.503892,True
random_bfs_shortcuts,83,12610270514,2585539002,2772.852000,True,1386,1.498922,True
random_bfs_shortcuts,84,10893856742,296057070,4084.741000,True,5808,7.511138,True
random_bfs_shortcuts,86,4751660570,1447129634,4124.172000,True,6252,8.884052,True
random_bfs_shortcuts,87,12459075337,2083726472,12302.427000,True,60271,98.845853,True
random_bfs_shortcuts,88,5306607707,5266786480,5655.119000,True,15381,20.723255,True
random_bfs_shortcuts,89,12111393897,6743002212,8453.709000,True,33424,50.919052,True
random_bfs_shortcuts,90,5284452298,343646818,1662.709000,True,721,0.817960,True
random_bfs_shortcuts,91,1216466444,4506950200,3973.028000,True,7365,9.101271,True
random_bfs_shortcuts,92,111465608,4477706860,2538.553000,True,1526,1.795080,True
random_bfs_shortcuts,93,10121898409,343646818,1973.884000,True,1414,1.562459,True
random_bfs_shortcuts,94,13522470886,9764806874,3292.543000,True,4471,5.476639,True
random_bfs_shortcuts,95,12533949491,299614580,1779.517000,True,1449,1.605838,True
random_bfs_shortcuts,96,1594804691,1142608316,3100.438000,True,2652,3.038936,True
random_bfs_shortcuts,97,4656695032,4526777736,1359.987000,True,1259,1.472122,True
random_bfs_shortcuts,98,10840321813,9028882883,2713.960000,True,2647,3.057090,True
random_bfs_shortcuts,99,3573222241,3573222241,0.000000,True,1,0.001165,True
random_bfs_shortcuts,100,10804032079,8091578311,3741.669000,True,5033,6.101107,True
random_bfs_shortcuts,25,2206192839,2206192839,0.000000,True,1,0.012572,True
random_bfs_shortcuts,26,111450388,1322185761,9768.018000,True,30842,60.781664,True
random_bfs_shortcuts,27,9028882801,12456240969,3076.503000,True,3945,5.110412,True
random_bfs_shortcuts,28,12456064553,474799738,1884.894000,True,1056,1.272857,True
random_bfs_shortcuts,29,12241567151,3098121126,1029.239000,True,365,0.400096,True
random_bfs_shortcuts,30,12456007310,6249235133,2135.501000,True,1933,2.836643,True
random_bfs_shortcuts,31,3573222227,2250794621,6152.703000,True,15520,24.007460,True
random_bfs_shortcuts,32,2893310956,2605258290,4446.496000,True,7062,8.978485,True
random_bfs_shortcuts,33,5849847821,1146569953,4873.067000,True,9195,12.801301,True
random_bfs_shortcuts,34,1105966159,3163927496,2165.539000,True,1519,1.798728,True
random_bfs_shortcuts,35,9026947863,1320280999,10404.249000,True,42230,62.759557,True
random_bfs_shortcuts,36,3250683231,343646818,1840.181000,True,1158,1.503142,True
random_bfs_shortcuts,37,12111393897,10914247475,1919.221000,True,1118,1.300682,True
random_bfs_shortcuts,38,12111393897,2208891198,1335.725000,True,649,0.734836,True
random_bfs_shortcuts,39,111508341,3740427460,6599.668000,True,14584,20.524538,True
random_bfs_shortcuts,40,111428015,12336214016,4548.448000,True,8503,10.883417,True
random_bfs_shortcuts,41,5185083151,475555174,4244.502000,True,5408,8.226982,True
random_bfs_shortcuts,42,3446699996,12396059927,2253.245000,True,2012,2.490766,True
random_bfs_shortcuts,43,1487178619,25632414,5093.028000,True,13735,18.012488,True
random_bfs_shortcuts,44,2356335529,4316780323,11916.136000,True,60694,88.494247,True
random_bfs_shortcuts,45,6131949111,10832083114,3098.572000,True,6574,8.057684,True
random_bfs_shortcuts,46,497690737,6211036772,7896.863000,True,25160,31.000875,True
random_bfs_shortcuts,47,3130311627,343646659,2026.002000,True,1317,1.442467,True
random_bfs_shortcuts,48,12514870315,1110698243,2472.368000,True,2250,2.391804,True
random_bfs_shortcuts,49,1105966159,9613090536,3601.349000,True,5580,6.682436,True
od_hotspot_bfs_shortcuts,0,111479505,4468690341,2657.948000,True,1985,5.153508,True
od_hotspot_bfs_shortcuts,1,9026947863,8428802849,3913.147000,True,7865,14.426170,True
od_hotspot_bfs_shortcuts,2,2356335529,111479510,248.810000,True,41,0.099155,True
od_hotspot_bfs_shortcuts,3,1548073774,12458801839,4181.978000,True,6298,11.583620,True
od_hotspot_bfs_shortcuts,4,5476877855,6786679826,3992.581000,True,8698,13.458841,True
od_hotspot_bfs_shortcuts,5,286970022,4473717370,4733.044000,True,10263,15.923884,True
od_hotspot_bfs_shortcuts,6,4685556561,2216360362,3344.529000,True,3390,4.143237,True
od_hotspot_bfs_shortcuts,7,10804032079,428214955,2896.452000,True,3086,4.121098,True
od_hotspot_bfs_shortcuts,8,112686789,343634578,4062.253000,True,6357,8.310742,True
od_hotspot_bfs_shortcuts,9,111479510,1142604690,1865.103000,True,956,1.148741,True
od_hotspot_bfs_shortcuts,10,2273290991,7057137060,2253.912000,True,1681,2.160493,True
od_hotspot_bfs_shortcuts,11,10832272076,12456007414,6493.325000,True,22642,36.682342,True
od_hotspot_bfs_shortcuts,12,5284385981,4395077186,5240.534000,True,10901,15.543148,True
od_hotspot_bfs_shortcuts,13,452682282,2206192839,3222.824000,True,3722,5.054709,True
od_hotspot_bfs_shortcuts,14,2206349297,137994655,2515.532000,True,1625,2.020805,True
od_hotspot_bfs_shortcuts,15,409117207,129953582,4931.906000,True,12606,18.614870,True
od_hotspot_bfs_shortcuts,16,1731168353,9917170967,7994.649000,True,29907,49.046173,True
od_hotspot_bfs_shortcuts,17,8425266096,6131949113,1781.241000,True,1451,1.856722,True
od_hotspot_bfs_shortcuts,18,4708680492,343634589,2786.659000,True,3663,5.122608,True
od_hotspot_bfs_shortcuts,19,4507024043,5476877561,1840.888000,True,690,0.784001,True
od_hotspot_bfs_shortcuts,20,12456240972,474552495,1928.408000,True,1518,1.947517,True
od_hotspot_bfs_shortcuts,21,8251772474,12163220170,6721.342000,True,23300,36.427093,True
od_hotspot_bfs_shortcuts,22,2356335529,4241285268,2433.141000,True,1804,2.358142,True
od_hotspot_bfs_shortcuts,23,6924815711,3570147092,2498.550000,True,2872,3.972798,True
od_hotspot_bfs_shortcuts,24,8428802849,492807184,3052.929000,True,5527,7.683575,True
od_hotspot_bfs_shortcuts,75,12456240969,138241053,1592.318000,True,657,2.301090,True
od_hotspot_bfs_shortcuts,76,1386063700,111481849,1374.999000,True,500,1.611917,True
od_hotspot_bfs_shortcuts,77,12241567152,5284320775,1696.450000,True,895,1.974370,True
od_hotspot_bfs_shortcuts,78,25632224,12533949426,2444.384000,True,1789,3.010250,True
od_hotspot_bfs_shortcuts,79,13050276131,1050531202,7839.146000,True,31754,59.912914,True
od_hotspot_bfs_shortcuts,80,4463858994,10294163314,2035.219000,True,1172,1.383792,True
od_hotspot_bfs_shortcuts,81,2356731134,5284320516,2056.050000,True,1146,1.289701,True
od_hotspot_bfs_shortcuts,82,10916368719,12064709805,1276.833000,True,503,0.573068,True
od_hotspot_bfs_shortcuts,83,12610270514,2585539002,2772.852000,True,1369,1.668167,True
od_hotspot_bfs_shortcuts,84,10893856742,296057070,4084.741000,True,5634,7.716484,True
od_hotspot_bfs_shortcuts,86,4751660570,1447129634,4124.172000,True,6252,9.382949,True
od_hotspot_bfs_shortcuts,87,12459075337,2083726472,12302.427000,True,60145,110.558997,True
od_hotspot_bfs_shortcuts,88,5306607707,5266786480,5655.119000,True,15440,23.250691,True
od_hotspot_bfs_shortcuts,89,12111393897,6743002212,8453.709000,True,33281,56.669180,True
od_hotspot_bfs_shortcuts,90,5284452298,343646818,1662.709000,True,718,0.909975,True
od_hotspot_bfs_shortcuts,91,1216466444,4506950200,3973.028000,True,7267,10.125063,True
od_hotspot_bfs_shortcuts,92,111465608,4477706860,2538.553000,True,1585,1.892526,True
od_hotspot_bfs_shortcuts,93,10121898409,343646818,1973.884000,True,1408,1.666873,True
od_hotspot_bfs_shortcuts,94,13522470886,9764806874,3292.543000,True,4204,5.207693,True
od_hotspot_bfs_shortcuts,95,12533949491,299614580,1779.517000,True,1438,1.597865,True
od_hotspot_bfs_shortcuts,96,1594804691,1142608316,3100.438000,True,2668,3.114189,True
od_hotspot_bfs_shortcuts,97,4656695032,4526777736,1359.987000,True,1259,1.622047,True
od_hotspot_bfs_shortcuts,98,10840321813,9028882883,2713.960000,True,2626,3.239569,True
od_hotspot_bfs_shortcuts,99,3573222241,3573222241,0.000000,True,1,0.002268,True
od_hotspot_bfs_shortcuts,100,10804032079,8091578311,3741.669000,True,4892,6.443384,True
od_hotspot_bfs_shortcuts,50,111428015,1353859198,4410.606000,True,6088,12.105494,True
od_hotspot_bfs_shortcuts,51,12456064553,7188043869,3734.191000,True,5976,12.210851,True
od_hotspot_bfs_shortcuts,52,12514870315,12619373472,2320.344000,True,2038,2.831091,True
od_hotspot_bfs_shortcuts,53,4074469815,1731168378,8640.720000,True,27176,51.476803,True
od_hotspot_bfs_shortcuts,54,129795309,1143318103,2592.101000,True,2842,4.288894,True
od_hotspot_bfs_shortcuts,55,12111393897,411014377,4052.412000,True,7851,10.726499,True
od_hotspot_bfs_shortcuts,56,10894511576,444058662,4787.173000,True,10441,15.432631,True
od_hotspot_bfs_shortcuts,57,12514870315,343646818,1368.050000,True,633,0.876808,True
od_hotspot_bfs_shortcuts,58,3392710660,452682253,1952.862000,True,1332,1.772078,True
od_hotspot_bfs_shortcuts,59,11368972152,8425266097,1117.874000,True,558,0.948743,True
od_hotspot_bfs_shortcuts,60,12111393897,12692809390,7622.325000,True,23947,37.146079,True
od_hotspot_bfs_shortcuts,61,5585519391,343646818,4135.004000,True,10339,16.516143,True
od_hotspot_bfs_shortcuts,62,1393866606,1548083883,3402.413000,True,4832,6.618876,True
od_hotspot_bfs_shortcuts,63,10804032079,335739291,4613.078000,True,8337,12.339854,True
od_hotspot_bfs_shortcuts,64,4529131610,2641682870,2074.671000,True,879,1.139306,True
od_hotspot_bfs_shortcuts,65,12456007414,13514607807,4018.424000,True,6975,9.666783,True
od_hotspot_bfs_shortcuts,66,314074569,9841388825,9162.816000,True,39276,63.640195,True
od_hotspot_bfs_shortcuts,67,2397381951,1225943131,123.703000,True,13,0.024059,True
od_hotspot_bfs_shortcuts,68,5849847819,1394070656,6986.965000,True,18304,27.448657,True
od_hotspot_bfs_shortcuts,69,276932539,9801811571,2208.853000,True,1742,2.091267,True
od_hotspot_bfs_shortcuts,70,4612522510,428214938,5086.962000,True,13916,18.728044,True
od_hotspot_bfs_shortcuts,71,343646818,474685697,1325.912000,True,439,0.499598,True
od_hotspot_bfs_shortcuts,72,13411053961,13411053961,0.000000,True,1,0.001105,True
od_hotspot_bfs_shortcuts,73,2349409306,513920950,4128.348000,True,9654,12.895077,True
od_hotspot_bfs_shortcuts,74,12456240969,3699236931,856.156000,True,186,0.194790,True
od_hotspot_bfs_shortcuts,25,2206192839,2206192839,0.000000,True,1,0.012249,True
od_hotspot_bfs_shortcuts,26,111450388,1322185761,9768.018000,True,30595,61.483779,True
od_hotspot_bfs_shortcuts,27,9028882801,12456240969,3076.503000,True,3868,4.847854,True
od_hotspot_bfs_shortcuts,28,12456064553,474799738,1884.894000,True,1055,1.292339,True
od_hotspot_bfs_shortcuts,29,12241567151,3098121126,1029.239000,True,343,0.344846,True
od_hotspot_bfs_shortcuts,30,12456007310,6249235133,2135.501000,True,1914,2.830053,True
od_hotspot_bfs_shortcuts,31,3573222227,2250794621,6152.703000,True,15279,24.584156,True
od_hotspot_bfs_shortcuts,32,2893310956,2605258290,4446.496000,True,6906,9.164766,True
od_hotspot_bfs_shortcuts,33,5849847821,1146569953,4873.067000,True,9035,14.815526,True
od_hotspot_bfs_shortcuts,34,1105966159,3163927496,2165.539000,True,1481,1.913519,True
od_hotspot_bfs_shortcuts,35,9026947863,1320280999,10404.249000,True,42058,69.679324,True
od_hotspot_bfs_shortcuts,36,3250683231,343646818,1840.181000,True,1155,1.591592,True
od_hotspot_bfs_shortcuts,37,12111393897,10914247475,1919.221000,True,1049,1.283047,True
od_hotspot_bfs_shortcuts,38,12111393897,2208891198,1335.725000,True,633,0.690699,True
od_hotspot_bfs_shortcuts,39,111508341,3740427460,6599.668000,True,14584,22.058689,True
od_hotspot_bfs_shortcuts,40,111428015,12336214016,4548.448000,True,8457,11.928552,True
od_hotspot_bfs_shortcuts,41,5185083151,475555174,4244.502000,True,5247,8.505964,True
od_hotspot_bfs_shortcuts,42,3446699996,12396059927,2253.245000,True,2004,2.669078,True
od_hotspot_bfs_shortcuts,43,1487178619,25632414,5093.028000,True,13623,19.936905,True
od_hotspot_bfs_shortcuts,44,2356335529,4316780323,11916.136000,True,60640,93.637427,True
od_hotspot_bfs_shortcuts,45,6131949111,10832083114,3098.572000,True,6574,8.139810,True
od_hotspot_bfs_shortcuts,46,497690737,6211036772,7896.863000,True,25111,32.687449,True
od_hotspot_bfs_shortcuts,47,3130311627,343646659,2026.002000,True,1279,1.448640,True
od_hotspot_bfs_shortcuts,48,12514870315,1110698243,2472.368000,True,2226,2.538286,True
od_hotspot_bfs_shortcuts,49,1105966159,9613090536,3601.349000,True,5473,6.565690,True
